country,Continente,Desarrollo,Estabilidad
Norway,Europe,Desarrollado,Estable
Angola,Africa,En Desarrollo,Desconocido
"Yemen, Rep.",Desconocido,Desconocido,Desconocido
Armenia,Asia,En Desarrollo,Desconocido
Costa Rica,North America,En Desarrollo,Estable
Turkey,Asia,En Desarrollo,Medianamente Estable
Moldova,Europe,En Desarrollo,Desconocido
Pakistan,Asia,En Desarrollo,Desconocido
Vietnam,Asia,En Desarrollo,Medianamente Estable
Spain,Europe,Desarrollado,Estable
Syria,Asia,En Desarrollo,Inestable
Uzbekistan,Asia,En Desarrollo,Desconocido
Swaziland,Desconocido,En Desarrollo,Desconocido
Croatia,Europe,En Desarrollo,Desconocido
Solomon Islands,Oceania,En Desarrollo,Desconocido
Ghana,Africa,En Desarrollo,Desconocido
Finland,Europe,Desarrollado,Estable
Senegal,Africa,En Desarrollo,Desconocido
Bangladesh,Asia,En Desarrollo,Desconocido
Guyana,South America,En Desarrollo,Desconocido
Ethiopia,Africa,En Desarrollo,Desconocido
Russia,Asia,En Desarrollo,Medianamente Estable
Israel,Asia,En Desarrollo,Desconocido
Malaysia,Asia,En Desarrollo,Medianamente Estable
Kuwait,Asia,En Desarrollo,Desconocido
Malta,Europe,En Desarrollo,Desconocido
Ecuador,South America,En Desarrollo,Desconocido
Mongolia,Asia,En Desarrollo,Desconocido
Kyrgyzstan,Asia,En Desarrollo,Desconocido
Germany,Europe,Desarrollado,Estable
"Macedonia, FYR",Desconocido,Desconocido,Desconocido
Rwanda,Africa,En Desarrollo,Desconocido
China,Asia,En Desarrollo,Medianamente Estable
Burundi,Africa,En Desarrollo,Desconocido
Slovak Republic,Desconocido,Desconocido,Desconocido
Bahamas,North America,Desconocido,Desconocido
Poland,Europe,En Desarrollo,Desconocido
Iceland,Europe,Desarrollado,Estable
Papua New Guinea,Oceania,En Desarrollo,Desconocido
Burkina Faso,Africa,En Desarrollo,Desconocido
Venezuela,South America,En Desarrollo,Inestable
Morocco,Africa,En Desarrollo,Desconocido
Zimbabwe,Africa,En Desarrollo,Desconocido
Romania,Europe,En Desarrollo,Desconocido
Brazil,South America,En Desarrollo,Medianamente Estable
Colombia,South America,En Desarrollo,Medianamente Estable
Botswana,Africa,En Desarrollo,Desconocido
Bulgaria,Europe,En Desarrollo,Desconocido
"Congo, Dem. Rep.",Desconocido,Desconocido,Desconocido
Madagascar,Africa,En Desarrollo,Desconocido
India,Asia,En Desarrollo,Medianamente Estable
Togo,Africa,En Desarrollo,Desconocido
Benin,Africa,En Desarrollo,Desconocido
Luxembourg,Europe,Desarrollado,Estable
Sudan,Africa,En Desarrollo,Desconocido
Peru,South America,En Desarrollo,Medianamente Estable
Afghanistan,Asia,En Desarrollo,Inestable
Egypt,Africa,En Desarrollo,Desconocido
Portugal,Europe,En Desarrollo,Desconocido
Australia,Oceania,Desarrollado,Estable
Cameroon,Africa,En Desarrollo,Desconocido
Ukraine,Europe,En Desarrollo,Medianamente Estable
"Congo, Rep.",Desconocido,Desconocido,Desconocido
Jamaica,North America,En Desarrollo,Desconocido
Chad,Africa,En Desarrollo,Inestable
Cyprus,Asia,En Desarrollo,Desconocido
France,Europe,Desarrollado,Estable
Sudan,Africa,En Desarrollo,Desconocido
Kazakhstan,Asia,En Desarrollo,Desconocido
Dominican Rep.,Desconocido,Desconocido,Desconocido
Tajikistan,Asia,En Desarrollo,Desconocido
Nepal,Asia,En Desarrollo,Desconocido
Iran,Asia,En Desarrollo,Desconocido
Singapore,Asia,Desarrollado,Estable
Slovenia,Europe,En Desarrollo,Desconocido
Belgium,Europe,Desarrollado,Estable
Malaysia,Asia,En Desarrollo,Medianamente Estable
New Zealand,Oceania,Desarrollado,Estable
Niger,Africa,En Desarrollo,Desconocido
Sierra Leone,Africa,En Desarrollo,Desconocido
Iran,Asia,En Desarrollo,Desconocido
Honduras,North America,En Desarrollo,Desconocido
Trinidad and Tobago,North America,En Desarrollo,Desconocido
Djibouti,Africa,En Desarrollo,Desconocido
Guinea,Africa,En Desarrollo,Desconocido
Denmark,Europe,Desarrollado,Estable
Algeria,Africa,En Desarrollo,Desconocido
Belize,North America,En Desarrollo,Desconocido
Hungary,Europe,En Desarrollo,Desconocido
Brunei,Asia,Desconocido,Desconocido
Myanmar,Desconocido,En Desarrollo,Inestable
Bosnia and Herzegovina,Europe,En Desarrollo,Desconocido
Bahrain,Asia,Desconocido,Desconocido
Sweden,Europe,Desarrollado,Estable
Uruguay,South America,En Desarrollo,Estable
Malawi,Africa,En Desarrollo,Desconocido
Liberia,Africa,En Desarrollo,Desconocido
United Kingdom,Europe,Desarrollado,Estable
Cote d'Ivoire,Desconocido,En Desarrollo,Desconocido
Lithuania,Europe,En Desarrollo,Desconocido
Jordan,Asia,En Desarrollo,Desconocido
Paraguay,South America,En Desarrollo,Desconocido
Libya,Africa,En Desarrollo,Inestable
Zambia,Africa,En Desarrollo,Desconocido
Belarus,Europe,En Desarrollo,Desconocido
Vietnam,Asia,En Desarrollo,Medianamente Estable
Indonesia,Asia,En Desarrollo,Medianamente Estable
Turkmenistan,Asia,En Desarrollo,Desconocido
Lebanon,Asia,En Desarrollo,Desconocido
Philippines,Asia,En Desarrollo,Medianamente Estable
Sri Lanka,Asia,En Desarrollo,Desconocido
Ireland,Europe,Desarrollado,Estable
Tajikistan,Asia,En Desarrollo,Desconocido
Czech Rep.,Desconocido,Desconocido,Desconocido
Bhutan,Asia,En Desarrollo,Desconocido
United Arab Emirates,Asia,En Desarrollo,Desconocido
Qatar,Asia,En Desarrollo,Desconocido
Tunisia,Africa,En Desarrollo,Desconocido
Guinea-Bissau,Africa,En Desarrollo,Desconocido
Nigeria,Africa,En Desarrollo,Desconocido
Timor-Leste,Desconocido,Desconocido,Desconocido
Netherlands,Europe,Desarrollado,Estable
Luxembourg,Europe,Desarrollado,Estable
Greece,Europe,En Desarrollo,Desconocido
El Salvador,North America,En Desarrollo,Desconocido
Chile,South America,En Desarrollo,Estable
Canada,North America,Desarrollado,Estable
Laos,Asia,En Desarrollo,Desconocido
Latvia,Europe,En Desarrollo,Desconocido
Mexico,North America,En Desarrollo,Medianamente Estable
Mauritius,Africa,En Desarrollo,Desconocido
Namibia,Africa,En Desarrollo,Desconocido
Comoros,Africa,En Desarrollo,Desconocido
United States,North America,Desarrollado,Estable
